id,dicc_autores_seguimiento_id,created_at,updated_at
2,54,2011-05-20 06:16:21.238461,2011-05-20 06:16:21.238461
3,55,2011-05-20 06:16:21.79517,2011-05-20 06:16:21.79517
4,56,2011-05-20 06:16:22.264615,2011-05-20 06:16:22.264615
5,57,2011-05-20 06:16:22.734911,2011-05-20 06:16:22.734911
6,58,2011-05-20 06:16:23.204297,2011-05-20 06:16:23.204297
7,59,2011-05-20 06:16:23.673189,2011-05-20 06:16:23.673189
8,60,2011-05-20 06:16:24.142553,2011-05-20 06:16:24.142553
9,61,2011-05-20 06:16:24.61353,2011-05-20 06:16:24.61353
10,62,2011-05-20 06:16:25.081906,2011-05-20 06:16:25.081906
11,63,2011-05-20 06:16:25.5514,2011-05-20 06:16:25.5514
12,64,2011-05-20 06:16:26.021545,2011-05-20 06:16:26.021545
13,65,2011-05-20 06:16:26.489148,2011-05-20 06:16:26.489148
14,66,2011-05-20 06:16:26.959408,2011-05-20 06:16:26.959408
15,67,2011-05-20 06:16:27.428492,2011-05-20 06:16:27.428492
16,68,2011-05-20 06:16:27.89901,2011-05-20 06:16:27.89901
17,69,2011-05-20 06:16:28.369168,2011-05-20 06:16:28.369168
18,70,2011-05-20 06:16:28.838972,2011-05-20 06:16:28.838972
19,71,2011-05-20 06:16:29.326323,2011-05-20 06:16:29.326323
20,72,2011-05-20 06:16:29.794978,2011-05-20 06:16:29.794978
21,73,2011-05-20 06:16:30.263378,2011-05-20 06:16:30.263378
22,74,2011-05-20 06:16:30.730673,2011-05-20 06:16:30.730673
23,75,2011-05-20 06:16:31.19992,2011-05-20 06:16:31.19992
24,75,2011-09-30 12:23:28.283219,2011-09-30 12:23:28.283219
30,3,2017-09-05 16:02:26.500111,2017-09-05 16:02:26.500111
31,10,2017-09-05 16:04:00.043381,2017-09-05 16:04:00.043381
32,10,2017-09-05 16:08:20.423914,2017-09-05 16:08:20.423914
