id,dicc_unidadesmuestreo_id,created_at,updated_at
2,2,2011-05-20 06:16:33.965613,2011-05-20 06:16:33.965613
3,3,2011-05-20 06:16:34.913468,2011-05-20 06:16:34.913468
4,4,2011-05-20 06:16:35.772694,2011-05-20 06:16:35.772694
5,5,2011-05-20 06:16:36.635728,2011-05-20 06:16:36.635728
6,6,2011-05-20 06:16:38.215445,2011-05-20 06:16:38.215445
7,7,2011-05-20 06:16:39.738325,2011-05-20 06:16:39.738325
8,8,2011-05-20 06:16:40.599357,2011-05-20 06:16:40.599357
9,9,2011-05-20 06:16:41.458823,2011-05-20 06:16:41.458823
10,10,2011-05-20 06:16:42.319739,2011-05-20 06:16:42.319739
11,11,2011-05-20 06:16:43.179836,2011-05-20 06:16:43.179836
12,12,2011-05-20 06:16:44.043019,2011-05-20 06:16:44.043019
13,13,2011-05-20 06:16:44.902629,2011-05-20 06:16:44.902629
14,14,2011-05-20 06:16:45.762818,2011-05-20 06:16:45.762818
15,15,2011-05-20 06:16:46.621988,2011-05-20 06:16:46.621988
16,16,2011-05-20 06:16:47.4809,2011-05-20 06:16:47.4809
17,17,2011-05-20 06:16:48.34073,2011-05-20 06:16:48.34073
